sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
1,2048,1.431029474362731,0.24431039169430732,0.6225651066750288,0.37743489332497115,11,5,0.45454545454545453,3.9715973918326197,0.5395551698282361,100.0,101.25730488571543,0.9909815636285197,0.30816652182354426,1894.6851316866805,1902.6165038481972,True,True,,True,True,True,True,
2,2048,1.8824654864147305,0.047053441498428585,0.4307692196220159,0.5692307803779841,29,15,0.5172413793103449,2.0821339627727866,0.4825667183846235,100.0,117.6183543823289,0.8315460698583252,0.0010370259895782128,1338.1337926808712,1354.1958319881078,True,True,,True,True,True,True,
3,2048,1.7033175639808178,0.22296037646010516,0.585932033881545,0.414067966118455,17,10,0.5882352941176471,1.8591579909436404,0.5651566851884127,100.0,108.86343980561594,0.9925445329881517,0.2730766329531136,1018.0581227907031,1027.1989081939219,True,True,,True,True,True,True,
4,2048,1.2331875702366233,0.0821731511503458,0.36757319085299966,0.6324268091470003,23,8,0.34782608695652173,3.2664719916880127,0.4065690586343408,100.0,103.62576275197938,0.6193925962536349,1.618816833330389e-05,2246.6068965286267,2256.1974752598967,True,True,,True,True,True,True,
5,2048,1.103864811360836,0.15857003415003418,0.49300365969538684,0.5069963403046132,22,8,0.36363636363636365,4.327703504450619,0.5953152256086469,100.0,95.65674930839299,0.9987357153089177,0.14921403199193448,1806.7721376540042,1820.154980877151,True,True,,True,True,True,True,
6,2048,1.5826465440914035,0.14888633340597152,0.6597996599972248,0.3402003400027752,18,12,0.6666666666666666,2.460804465506226,0.42582667879760266,100.0,103.97066867485597,0.9994360396306389,0.2018382847335094,1632.0180209715847,1643.1322265452436,True,True,,True,True,True,True,
7,2048,1.753136532381177,0.27352358512580394,0.3047589220106602,0.6952410779893399,26,15,0.5769230769230769,1.4901427578181028,0.5217014122754335,100.0,119.17776335364772,0.6307089227429712,0.0059269885717745515,1033.7300319600402,1044.031128485719,True,True,,True,True,True,True,
8,2048,1.3103522518649697,0.020163128245621918,0.5481176398694515,0.4518823601305485,14,7,0.5,2.926466682460159,0.45061369035393,100.0,100.16254307216298,0.977942997094311,0.024101409494983052,1799.2716614337953,1817.7000916104892,True,True,,True,True,True,True,
9,2048,1.3127994146198034,0.19176335055381058,0.3372934959828853,0.6627065040171147,19,10,0.5263157894736842,3.539223618619144,0.5817107152193784,100.0,106.95970391871168,0.8022450539687099,0.0029632532752152684,1635.9659325341422,1651.1159435014663,True,True,,True,True,True,True,
10,2048,1.8737363712862134,0.10781149109825491,0.5158081330358981,0.4841918669641019,21,9,0.42857142857142855,1.6912056592293083,0.44031050074845557,100.0,114.69785516646652,0.9168221801842326,0.006079459365062453,1244.9139765718614,1262.711188754194,True,True,,True,True,True,True,
11,2048,1.5401756428182125,0.24094539759680628,0.4739265687763691,0.5260734312236309,13,4,0.3076923076923077,2.2485632702708243,0.5072786012664438,100.0,108.42508740985375,0.9185208110219757,0.0420838543725865,1338.7168038369919,1355.2844239749634,True,True,,True,True,True,True,
12,2048,1.0232889642938972,0.06302381213754416,0.6790041618049144,0.3209958381950856,27,17,0.6296296296296297,3.7037676843814547,0.46435254998505116,100.0,87.83805168959083,0.999998702007013,0.30872375432149374,2117.5910638630453,2126.262764091534,True,True,,True,True,True,True,
13,2048,1.1438379064202309,0.28656513160094615,0.5533844839781523,0.4466155160218477,28,18,0.6428571428571429,3.0671212309040126,0.5251690279692411,100.0,95.13461548120108,0.9999957190758473,0.14958176176213786,1611.7129911149827,1626.0283160299805,True,True,,True,True,True,True,
14,2048,1.6696204645559192,0.01504003945738077,0.39986973367631434,0.6001302663236856,12,5,0.4166666666666667,1.248112986423075,0.4962689088657498,100.0,113.93578282805709,0.7470979228574544,0.0474208419839047,970.4276562278907,982.0648342052365,True,True,,True,True,True,True,
15,2048,1.994291516020894,0.1812795488163829,0.641629221662879,0.35837077833712105,24,11,0.4583333333333333,2.7077817267738284,0.5515155056491494,100.0,113.40050581475953,0.999100062650653,0.3509391984347915,1345.9372349673577,1353.0641446814898,True,True,,True,True,True,True,
16,2048,1.4422504315152764,0.11593121392652392,0.4115517538040876,0.5884482461959124,16,9,0.5625,4.185550715401768,0.42108954973518853,100.0,107.95548268159911,0.7088038031765016,0.0028926921308330177,2609.6002903710278,2621.49563752196,True,True,,True,True,True,True,
17,2048,1.4824558170512319,0.17064895732328295,0.5066780850291251,0.49332191497087485,25,8,0.32,1.4002665404230354,0.4754134198650718,100.0,105.96566959297598,0.9420098757988321,0.026325956516130934,1050.6300171243188,1068.3765902187963,True,True,,True,True,True,True,
18,2048,1.9540487509220839,0.12393617313355207,0.3398805737495422,0.6601194262504577,14,9,0.6428571428571429,3.222504731174558,0.5465133465826512,100.0,122.24444576121397,0.7194926180236427,0.024885940158991912,1630.900725914636,1642.844202729335,True,True,,True,True,True,True,
19,2048,1.6322224950417876,0.29959176722913977,0.6949716717004776,0.3050283282995224,21,11,0.5238095238095238,4.237827336229384,0.400978122651577,100.0,104.17169364873968,0.9998927038535866,0.23944970197205057,2571.8490192054587,2581.4744388581253,True,True,,True,True,True,True,
20,2048,1.181272853165865,0.009348709043115378,0.4516114011406898,0.5483885988593102,18,7,0.3888888888888889,2.756842563394457,0.5705521179363131,100.0,99.33876559590021,0.9889894828390186,0.04713899268626338,1350.0868613115601,1368.2659077151295,True,True,,True,True,True,True,
21,2048,1.0596185652539134,0.23285796102136372,0.3776522193104028,0.6223477806895972,16,8,0.5,1.7434883284382523,0.4313687881454826,100.0,97.85140003543944,0.6608605437939443,0.004326943733151757,1388.0089283334728,1398.686540339397,True,True,,True,True,True,True,
22,2048,1.5038695931434631,0.07371842740103603,0.5694496531039477,0.4305503468960523,23,13,0.5652173913043478,3.5882783085107803,0.5899686194956302,100.0,104.62278887503982,0.9999039405465625,0.2702813267832788,1549.685090015225,1558.890712371076,True,True,,True,True,True,True,
23,2048,1.832401611842215,0.1975186868570745,0.41443180330097673,0.5855681966990233,10,7,0.7,3.855927778501063,0.4577181622385979,100.0,117.09397381427686,0.7224528762391774,0.04950401911502769,2251.3758841890894,2262.110151113305,True,True,,True,True,True,True,
24,2048,1.3541100714355707,0.09470239598304032,0.6327921394258738,0.36720786057412624,30,11,0.36666666666666664,2.4039403287693855,0.5147920621559023,100.0,98.94894568762948,0.9993024341775913,0.2873573744910061,1368.83992858325,1377.4870264112276,True,True,,True,True,True,True,
25,2048,1.272557538934052,0.26517294393852353,0.4467352036386728,0.5532647963613272,25,16,0.64,2.617793048825115,0.4458526559174061,100.0,102.1852055026286,0.8042416548483752,0.002374774411302467,1729.7597139414183,1744.4686567280369,True,True,,True,True,True,True,
26,2048,1.7909071575850248,0.0305945198982954,0.6002514649182558,0.39974853508174424,15,5,0.3333333333333333,4.4814747299999,0.5763640632852912,100.0,110.38088405282173,0.9907655849584958,0.31321789738752026,1896.2146136812644,1904.1127104766683,True,True,,True,True,True,True,
27,2048,1.6234927540645003,0.16464810222387313,0.3584416169673204,0.6415583830326796,28,13,0.4642857142857143,2.9771325037814673,0.4714569730684161,100.0,114.26530325207364,0.6781012597501911,7.632960059450327e-05,1822.1560991039837,1833.8094307822112,True,True,,True,True,True,True,
